Country,Population,Area_km2,Continent
China,1404328611,9706961,Asia
India,1366939754,3287263,Asia
United States,330943459,9525067,North America
Indonesia,270625568,1910931,Asia
Pakistan,216565318,881913,Asia
Brazil,211049527,8515767,South America
Nigeria,200963599,923768,Africa
Bangladesh,163046161,147570,Asia
Russia,145872256,17098242,Europe
Mexico,127575529,1964375,North America
Japan,126860301,377975,Asia
Ethiopia,112078730,1104300,Africa
Philippines,108116615,300000,Asia
Egypt,100388073,1002450,Africa
Vietnam,96462108,331212,Asia
DR Congo,86790567,2344858,Africa
Turkey,83429615,783356,Asia
Iran,82913906,1648195,Asia
Germany,82905782,357022,Europe
France,67297737,551695,Europe